"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  265  avg =  19.725"
"response","count","percent_responded"
"0","83","31.32"
"1","12","4.53"
"50","12","4.53"
"16","9","3.4"
"3","7","2.64"
"6","7","2.64"
"7","7","2.64"
"13","6","2.26"
"2","5","1.89"
"21","5","1.89"
"25","5","1.89"
"29","5","1.89"
"35","5","1.89"
"10","4","1.51"
"100","4","1.51"
"24","4","1.51"
"51","4","1.51"
"11","3","1.13"
"17","3","1.13"
"27","3","1.13"
"32","3","1.13"
"33","3","1.13"
"39","3","1.13"
"43","3","1.13"
"48","3","1.13"
"49","3","1.13"
"64","3","1.13"
"8","3","1.13"
"15","2","0.75"
"18","2","0.75"
"20","2","0.75"
"22","2","0.75"
"23","2","0.75"
"26","2","0.75"
"28","2","0.75"
"30","2","0.75"
"38","2","0.75"
"4","2","0.75"
"44","2","0.75"
"47","2","0.75"
"70","2","0.75"
"9","2","0.75"
"12","1","0.38"
"14","1","0.38"
"19","1","0.38"
"34","1","0.38"
"36","1","0.38"
"45","1","0.38"
"46","1","0.38"
"5","1","0.38"
"52","1","0.38"
"53","1","0.38"
"55","1","0.38"
"57","1","0.38"
"66","1","0.38"
"71","1","0.38"
"78","1","0.38"
"80","1","0.38"
"83","1","0.38"
"85","1","0.38"
"91","1","0.38"
"98","1","0.38"
