"q11","How do you prefer to use cannabis? Please select all that apply.","n =  558"
"response","count","percent_responded"
"Smoke flower","326","58.42"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","279","50"
"Vape cartridges","249","44.62"
"Tinctures","226","40.5"
"Salves/topicals","174","31.18"
"Vape flower","144","25.81"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","108","19.35"
"Capsules","83","14.87"
"Other (please specify)","24","4.3"
"Transdermal patches","23","4.12"
"Suppositories","14","2.51"
