"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  85"
"response","count","percent_responded"
"Chronic pain","34","40"
"Posttraumatic stress disorder (PTSD)","18","21.18"
"Anxiety","7","8.24"
"Depression","5","5.88"
"Insomnia","5","5.88"
"Fibromyalgia/myositis","3","3.53"
"Respiratory problems","3","3.53"
"Arthritis","2","2.35"
"Bipolar/manic depression","2","2.35"
"Cancer","1","1.18"
"Cardiovascular disease","1","1.18"
"Gastrointestinal/digestive system disorders","1","1.18"
"Hypertension","1","1.18"
"Obesity","1","1.18"
"Substance abuse/addiction","1","1.18"
