"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  78"
"response","count","percent_responded"
"Chronic pain","59","75.64"
"Anxiety","52","66.67"
"Depression","48","61.54"
"Posttraumatic stress disorder (PTSD)","43","55.13"
"Arthritis","36","46.15"
"Insomnia","34","43.59"
"Hypertension","23","29.49"
"Gastrointestinal/digestive system disorders","19","24.36"
"Other (please specify)","19","24.36"
"Allergies","18","23.08"
"Obesity","15","19.23"
"Diabetes","13","16.67"
"Reflux esophagitis","12","15.38"
"Fibromyalgia/myositis","10","12.82"
"Respiratory problems","10","12.82"
"Cancer","9","11.54"
"Cardiovascular disease","9","11.54"
"Attention deficit/hyperactivity disorder (ADHD)","7","8.97"
"Bipolar/manic depression","7","8.97"
"Substance abuse/addiction","7","8.97"
"Inflammatory bowel disease (IBD)","6","7.69"
"Eczema","5","6.41"
"HIV/AIDS","2","2.56"
"Multiple sclerosis","1","1.28"
