"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  146"
"response","count","percent_responded"
"Money to purchase products","91","62.33"
"Access to the right products","65","44.52"
"Money required to get medical card","57","39.04"
"Owning a firearm","34","23.29"
"Place to consume cannabis","34","23.29"
"Stigma","32","21.92"
"Workplace testing or other policies","21","14.38"
"Lack of knowledge","17","11.64"
"Other (please specify)","16","10.96"
"Previous bad experience","3","2.05"
