"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  723  avg =  73.931"
"response","count","percent_responded"
"100","407","56.29"
"0","98","13.55"
"50","24","3.32"
"75","17","2.35"
"80","13","1.8"
"90","13","1.8"
"85","10","1.38"
"1","8","1.11"
"25","8","1.11"
"95","8","1.11"
"97","8","1.11"
"99","8","1.11"
"10","6","0.83"
"2","6","0.83"
"5","6","0.83"
"40","5","0.69"
"70","5","0.69"
"94","4","0.55"
"20","3","0.41"
"48","3","0.41"
"60","3","0.41"
"65","3","0.41"
"88","3","0.41"
"98","3","0.41"
"21","2","0.28"
"30","2","0.28"
"35","2","0.28"
"45","2","0.28"
"52","2","0.28"
"54","2","0.28"
"56","2","0.28"
"59","2","0.28"
"7","2","0.28"
"79","2","0.28"
"84","2","0.28"
"11","1","0.14"
"13","1","0.14"
"14","1","0.14"
"15","1","0.14"
"16","1","0.14"
"23","1","0.14"
"26","1","0.14"
"27","1","0.14"
"28","1","0.14"
"3","1","0.14"
"32","1","0.14"
"34","1","0.14"
"42","1","0.14"
"46","1","0.14"
"49","1","0.14"
"51","1","0.14"
"55","1","0.14"
"57","1","0.14"
"69","1","0.14"
"71","1","0.14"
"74","1","0.14"
"82","1","0.14"
"86","1","0.14"
"87","1","0.14"
"89","1","0.14"
"91","1","0.14"
"92","1","0.14"
"93","1","0.14"
"96","1","0.14"
