"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  269"
"response","count","percent_responded"
"Money","148","55.02"
"Stigma","76","28.25"
"Access to the right products","73","27.14"
"Place to consume cannabis","62","23.05"
"Workplace testing or other policies","60","22.3"
"No barriers","54","20.07"
"Time required to get medical card or obtain products","35","13.01"
"Lack of knowledge","21","7.81"
"Other (please specify)","10","3.72"
"Previous bad experience","4","1.49"
