"q14","What are the effects of your pain? (Please select all that apply)","n =  31"
"response","count","percent_responded"
"Enjoyment of life","26","83.87"
"Physical activity","25","80.65"
"Energy level","24","77.42"
"Mood","22","70.97"
"Sleep","22","70.97"
"Depression","21","67.74"
"Household chores","21","67.74"
"Mobility","20","64.52"
"Anxiety","19","61.29"
"Concentration","19","61.29"
"Relationships with others","18","58.06"
"Self esteem","16","51.61"
"Sexual functioning","12","38.71"
"Memory","11","35.48"
"Personal care","11","35.48"
"Appetite","7","22.58"
