"q14","What are the effects of your pain? (Please select all that apply)","n =  90"
"response","count","percent_responded"
"Physical activity","78","86.67"
"Enjoyment of life","76","84.44"
"Energy level","69","76.67"
"Sleep","68","75.56"
"Mood","64","71.11"
"Mobility","63","70"
"Depression","56","62.22"
"Household chores","54","60"
"Anxiety","47","52.22"
"Concentration","46","51.11"
"Relationships with others","46","51.11"
"Sexual functioning","44","48.89"
"Self esteem","39","43.33"
"Personal care","27","30"
"Memory","24","26.67"
"Appetite","18","20"
