"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  32"
"response","count","percent_responded"
"Chronic pain","22","68.75"
"Anxiety","20","62.5"
"Depression","17","53.12"
"Posttraumatic stress disorder (PTSD)","15","46.88"
"Insomnia","13","40.62"
"Arthritis","10","31.25"
"Attention deficit/hyperactivity disorder (ADHD)","4","12.5"
"Cancer","4","12.5"
"Bipolar/manic depression","2","6.25"
"Fibromyalgia/myositis","2","6.25"
"Hypertension","2","6.25"
"Other (please specify)","2","6.25"
"Substance abuse/addiction","2","6.25"
"Allergies","1","3.12"
"Cardiovascular disease","1","3.12"
"Diabetes","1","3.12"
"Eczema","1","3.12"
"Gastrointestinal/digestive system disorders","1","3.12"
"Inflammatory bowel disease (IBD)","1","3.12"
"Reflux esophagitis","1","3.12"
"Respiratory problems","1","3.12"
