"q21","How many total prescription medications are you currently taking? (Please insert number)","n =  217  avg =  5"
"response","count","percent_responded"
"0","34","15.67"
"1","28","12.9"
"4","27","12.44"
"3","23","10.6"
"5","18","8.29"
"2","17","7.83"
"6","14","6.45"
"10","12","5.53"
"7","12","5.53"
"8","6","2.76"
"9","5","2.3"
"12","4","1.84"
"14","3","1.38"
"11","2","0.92"
"16","2","0.92"
"18","2","0.92"
"30","2","0.92"
"13","1","0.46"
"15","1","0.46"
"17","1","0.46"
"20","1","0.46"
"21","1","0.46"
"50","1","0.46"
