"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  232"
"response","count","percent_responded"
"Access to the right products","98","42.24"
"Money to purchase products","83","35.78"
"Stigma","82","35.34"
"Owning a firearm","62","26.72"
"Workplace testing or other policies","59","25.43"
"Money required to get medical card","52","22.41"
"Place to consume cannabis","39","16.81"
"Other (please specify)","33","14.22"
"Lack of knowledge","29","12.5"
"Previous bad experience","6","2.59"
