"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  232  avg =  22.905"
"response","count","percent_responded"
"0","69","29.74"
"50","14","6.03"
"51","9","3.88"
"100","7","3.02"
"21","7","3.02"
"16","6","2.59"
"11","5","2.16"
"13","5","2.16"
"22","5","2.16"
"29","5","2.16"
"3","5","2.16"
"19","4","1.72"
"2","4","1.72"
"20","4","1.72"
"24","4","1.72"
"26","4","1.72"
"49","4","1.72"
"1","3","1.29"
"27","3","1.29"
"35","3","1.29"
"38","3","1.29"
"8","3","1.29"
"9","3","1.29"
"10","2","0.86"
"14","2","0.86"
"17","2","0.86"
"18","2","0.86"
"23","2","0.86"
"25","2","0.86"
"39","2","0.86"
"4","2","0.86"
"42","2","0.86"
"43","2","0.86"
"47","2","0.86"
"48","2","0.86"
"5","2","0.86"
"52","2","0.86"
"6","2","0.86"
"64","2","0.86"
"7","2","0.86"
"12","1","0.43"
"15","1","0.43"
"28","1","0.43"
"30","1","0.43"
"31","1","0.43"
"32","1","0.43"
"36","1","0.43"
"53","1","0.43"
"54","1","0.43"
"55","1","0.43"
"57","1","0.43"
"60","1","0.43"
"63","1","0.43"
"65","1","0.43"
"69","1","0.43"
"73","1","0.43"
"77","1","0.43"
"83","1","0.43"
"87","1","0.43"
