"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  78"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","37","47.44"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","25","32.05"
"Anti-inflammatories","21","26.92"
"Other (please specify)","20","25.64"
"I don’t take any prescription medications","17","21.79"
"Muscle relaxants","16","20.51"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","13","16.67"
"Statins (e.g. Lipitor, Crestor)","11","14.1"
"Antihypertensives","10","12.82"
"Antimigraine","9","11.54"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","9","11.54"
"Steroids, including steroid creams","9","11.54"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","7","8.97"
"Beta Blockers","7","8.97"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","7","8.97"
"Insulin","4","5.13"
"Sedatives/hypnotics","4","5.13"
"Hormone replacement therapy (HRT)","3","3.85"
"Antipsychotics (e.g. Abilify, Seroquel)","2","2.56"
"Proton pump inhibitors","1","1.28"
