"q13","Where are the locations of your pain (please check all that apply)","n =  137"
"response","count","percent_responded"
"Lower back","101","73.72"
"Knee","76","55.47"
"Neck","73","53.28"
"Shoulder","73","53.28"
"General joint pain","64","46.72"
"Hips","64","46.72"
"Leg","61","44.53"
"Foot","55","40.15"
"Hand","54","39.42"
"Generalized muscle pain","48","35.04"
"Upper back","48","35.04"
"Arm","44","32.12"
"Wrist","43","31.39"
"Head/headache","41","29.93"
"Full body","25","18.25"
"Abdomen","23","16.79"
"Buttocks","22","16.06"
"Mouth/dental pain","21","15.33"
"Stomach","19","13.87"
"Chest","17","12.41"
"Other (please specify)","10","7.3"
"Face","7","5.11"
"Rectum","5","3.65"
"Genitalia","3","2.19"
