"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  146"
"response","count","percent_responded"
"Chronic pain","111","76.03"
"Depression","92","63.01"
"Anxiety","87","59.59"
"Posttraumatic stress disorder (PTSD)","79","54.11"
"Arthritis","60","41.1"
"Insomnia","54","36.99"
"Gastrointestinal/digestive system disorders","22","15.07"
"Attention deficit/hyperactivity disorder (ADHD)","19","13.01"
"Hypertension","16","10.96"
"Fibromyalgia/myositis","15","10.27"
"Other (please specify)","15","10.27"
"Substance abuse/addiction","13","8.9"
"Bipolar/manic depression","9","6.16"
"Inflammatory bowel disease (IBD)","9","6.16"
"Reflux esophagitis","9","6.16"
"Diabetes","8","5.48"
"Cancer","7","4.79"
"Allergies","5","3.42"
"Cardiovascular disease","5","3.42"
"Eczema","5","3.42"
"Respiratory problems","5","3.42"
"HIV/AIDS","4","2.74"
"Multiple sclerosis","3","2.05"
"Obesity","2","1.37"
"Alzheimer's","1","0.68"
"Epilepsy","1","0.68"
