"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  1292"
"response","count","percent_responded"
"Bachelors degree","368","28.48"
"Some college, no degree","313","24.23"
"Masters degree","182","14.09"
"Associate degree","155","12"
"High school degree or equivalent (GED)","145","11.22"
"Professional degree (MD, JD, DDS, DVM)","44","3.41"
"Prefer not to answer","36","2.79"
"Doctorate (Ph.D., EdD, etc)","26","2.01"
"Less than high school diploma","23","1.78"
