"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  98  avg =  70.776"
"response","count","percent_responded"
"100","56","57.14"
"0","12","12.24"
"50","6","6.12"
"1","3","3.06"
"15","2","2.04"
"25","2","2.04"
"75","2","2.04"
"10","1","1.02"
"12","1","1.02"
"17","1","1.02"
"18","1","1.02"
"19","1","1.02"
"26","1","1.02"
"32","1","1.02"
"43","1","1.02"
"56","1","1.02"
"89","1","1.02"
"93","1","1.02"
"95","1","1.02"
"96","1","1.02"
"98","1","1.02"
"99","1","1.02"
