"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  299"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","138","46.15"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","100","33.44"
"Statins (e.g. Lipitor, Crestor)","87","29.1"
"Anti-inflammatories","76","25.42"
"Other (please specify)","69","23.08"
"Muscle relaxants","58","19.4"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","51","17.06"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","50","16.72"
"Antihypertensives","49","16.39"
"I don’t take any prescription medications","44","14.72"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","42","14.05"
"Beta Blockers","37","12.37"
"Steroids, including steroid creams","31","10.37"
"Insulin","24","8.03"
"Proton pump inhibitors","18","6.02"
"Sedatives/hypnotics","18","6.02"
"Antimigraine","13","4.35"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","13","4.35"
"Antipsychotics (e.g. Abilify, Seroquel)","12","4.01"
"Hormone replacement therapy (HRT)","9","3.01"
"Antiemetics","3","1"
"Barbiturates (e.g. Floricet)","2","0.67"
