"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  185"
"response","count","percent_responded"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","185","100"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","106","57.3"
"Anti-inflammatories","75","40.54"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","61","32.97"
"Muscle relaxants","59","31.89"
"Statins (e.g. Lipitor, Crestor)","46","24.86"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","44","23.78"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","31","16.76"
"Other (please specify)","23","12.43"
"Steroids, including steroid creams","20","10.81"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","20","10.81"
"Antimigraine","19","10.27"
"Antipsychotics (e.g. Abilify, Seroquel)","19","10.27"
"Sedatives/hypnotics","18","9.73"
"Antihypertensives","16","8.65"
"Beta Blockers","15","8.11"
"Proton pump inhibitors","10","5.41"
"Barbiturates (e.g. Floricet)","8","4.32"
"Hormone replacement therapy (HRT)","8","4.32"
"Insulin","6","3.24"
"Antiemetics","1","0.54"
