"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  146"
"response","count","percent_responded"
"Chronic pain","63","43.15"
"Posttraumatic stress disorder (PTSD)","39","26.71"
"Anxiety","10","6.85"
"Depression","8","5.48"
"Insomnia","6","4.11"
"Arthritis","5","3.42"
"Cancer","4","2.74"
"Bipolar/manic depression","3","2.05"
"Substance abuse/addiction","3","2.05"
"Multiple sclerosis","2","1.37"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.68"
"Cardiovascular disease","1","0.68"
"Fibromyalgia/myositis","1","0.68"
