"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  825"
"response","count","percent_responded"
"Not actively trying to reduce medication Intake","289","35.03"
"Antidepressants","212","25.7"
"NSAID/non-opioid analgesics","169","20.48"
"Narcotics/opioids","166","20.12"
"Muscle relaxants","151","18.3"
"Anxiolytics/Benzodiazepines","129","15.64"
"Other (please specify)","120","14.55"
"Other (please specify below)","100","12.12"
"Sedatives/hypnotics","77","9.33"
"Antimigraine","59","7.15"
"Antipsychotics","33","4"
"Anti-convulsants","25","3.03"
"Proton pump inhibitors","23","2.79"
