"q67","Which VA do you go to?","n =  198"
"response","count","percent_responded"
"N/A","7","3.54"
"None","6","3.03"
"Providence","5","2.53"
"n/a","4","2.02"
"none","4","2.02"
"Togus","4","2.02"
"Worcester","3","1.52"
"American Lake","2","1.01"
"Brockton MA","2","1.01"
"Manchester","2","1.01"
"Northampton","2","1.01"
"Springfield Ma","2","1.01"
"Washington","2","1.01"
"Worcester ","2","1.01"
"Worcester, MA","2","1.01"
" Brockton Massachusetts","1","0.51"
"Alaska","1","0.51"
"Albuquerque ","1","0.51"
"Anne Arbor","1","0.51"
"Baypines Va","1","0.51"
"Beaumont TX","1","0.51"
"Bedford","1","0.51"
"Bedford, ma","1","0.51"
"BOHC","1","0.51"
"boston","1","0.51"
"Boston","1","0.51"
"Boston ","1","0.51"
"Boston - JP","1","0.51"
"Boston & Worcester","1","0.51"
"boston area","1","0.51"
"boston campus","1","0.51"
"Boston JP","1","0.51"
"Brewer","1","0.51"
"Brockton","1","0.51"
"Brockton ","1","0.51"
"Brockton VA","1","0.51"
"Brockton. Massachusetts","1","0.51"
"Brooksville","1","0.51"
"Burlington vermont","1","0.51"
"Campbell county  va","1","0.51"
"cape coral.","1","0.51"
"Captain James A lovell federal health care center","1","0.51"
"Caribou Maine","1","0.51"
"Castle Point, VAHVHCS","1","0.51"
"CBOC Yuma AZ","1","0.51"
"Chalmers P. Wilie Ambulatory Care Center","1","0.51"
"Cheyenne","1","0.51"
"columbia,sc","1","0.51"
"Corpus Christi, Texas ","1","0.51"
"do not use va","1","0.51"
"don't","1","0.51"
"Don't go to VA","1","0.51"
"Don’t use va","1","0.51"
"Dublin, Ga.","1","0.51"
"Durham and Raleigh NC","1","0.51"
"Eglin","1","0.51"
"El Paso","1","0.51"
"Evansville ","1","0.51"
"Fresno.. which I will never return to adter they broke my rt collar bone 2 years ago and have covered it up since","1","0.51"
"Ft. Harrison, MT","1","0.51"
"Ha ha","1","0.51"
"Hilo Hawaii ","1","0.51"
"hospital","1","0.51"
"HOUSTON ","1","0.51"
"I'm currently in using a VA","1","0.51"
"i don't","1","0.51"
"I don't","1","0.51"
"I don't ","1","0.51"
"I don't and wont","1","0.51"
"I go to Civilian healthcare","1","0.51"
"I still have to check in to the Las Cruces VA, I just moved here a year ago.","1","0.51"
"Indianapolis ","1","0.51"
"Jacksonville FL ","1","0.51"
"Jamaica Plain Boston MA","1","0.51"
"Jamaica Plains","1","0.51"
"Jamaica plian","1","0.51"
"James A Haley","1","0.51"
"James Haley","1","0.51"
"Jonathan Wainwright VAMC Walla Walla, WA","1","0.51"
"Jp","1","0.51"
"Las Vegas","1","0.51"
"leeds","1","0.51"
"Leeds, MA","1","0.51"
"LITTLE ROCK","1","0.51"
"Little Rock  AR ","1","0.51"
"Livermore,Palo alto,modesto","1","0.51"
"Loma linda","1","0.51"
"Loma Linda","1","0.51"
"Loma Linda ","1","0.51"
"Lynn VA clinic","1","0.51"
"Malcolm Randall Gainesville Florida ","1","0.51"
"Manchester, NH","1","0.51"
"martinsburg","1","0.51"
"MCGUIRE VA MEDICAL CENTER","1","0.51"
"MT","1","0.51"
"mt. vernon wa.","1","0.51"
"N/a","1","0.51"
"na","1","0.51"
"Na","1","0.51"
"Nevada","1","0.51"
"New Philadelphia, Ohio","1","0.51"
"Newington ct.","1","0.51"
"nj","1","0.51"
"No","1","0.51"
"NONE","1","0.51"
"None ","1","0.51"
"None now previously Springfield outpatient","1","0.51"
"north carolina","1","0.51"
"North Hampton MA","1","0.51"
"Northampton/Leeds   ","1","0.51"
"Not sure but it’s in Washington state","1","0.51"
"Oklahoma","1","0.51"
"Orlando, FL","1","0.51"
"Overton Brooks VA Medical Center ","1","0.51"
"Palo alto","1","0.51"
"Phoenix Va Medical Center","1","0.51"
"Pittsburgh ","1","0.51"
"Pittsburgh PA","1","0.51"
"Plymouth, MA Clinic ","1","0.51"
"Portland","1","0.51"
"Portland VAMC","1","0.51"
"Prefer not to say","1","0.51"
"Prescott VA Hospital ","1","0.51"
"Prescott, AZ","1","0.51"
"Providence RI","1","0.51"
"PROVIDENCE RI","1","0.51"
"Providence, R.I.","1","0.51"
"Providence, RI","1","0.51"
"Rodabusch Indianapolis Indiana ","1","0.51"
"Rumford","1","0.51"
"Saco","1","0.51"
"Salt lake city","1","0.51"
"San Francisco","1","0.51"
"Spokane, WA","1","0.51"
"Springfield IL","1","0.51"
"Springfield MA","1","0.51"
"Springfield Massachusetts","1","0.51"
"Stratton","1","0.51"
"Stratton VAMC Albany,  NY","1","0.51"
"Tampa, FL","1","0.51"
"Temple Tx","1","0.51"
"test test test test","1","0.51"
"Togus VS in Maine","1","0.51"
"Togus/Bangor","1","0.51"
"Tripler Hawaii","1","0.51"
"VA Central Western Massachusetts Healthcare System","1","0.51"
"VA Nashville ","1","0.51"
"VAMC OKC","1","0.51"
"Vegas","1","0.51"
"Vierra, Fl","1","0.51"
"Waco TX","1","0.51"
"West Haven, CT","1","0.51"
"West Los Angeles","1","0.51"
"West Palm Beach FL","1","0.51"
"west roxbury","1","0.51"
"West Roxbury VA ","1","0.51"
"West Roxbury VAMC  Massachusetts","1","0.51"
"West Roxbury, Ma","1","0.51"
"Wilkes-Barre Pennsylvania ","1","0.51"
"Worcester MA","1","0.51"
"Worcester Ma.","1","0.51"
"Worcester Ma. outpatient ","1","0.51"
"Worcester VA Clinic","1","0.51"
"Worcester, Boston","1","0.51"
