"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  284"
"response","count","percent_responded"
"Money to purchase products","147","51.76"
"Access to the right products","118","41.55"
"Money required to get medical card","98","34.51"
"Stigma","83","29.23"
"Owning a firearm","78","27.46"
"Workplace testing or other policies","77","27.11"
"Place to consume cannabis","67","23.59"
"Lack of knowledge","38","13.38"
"Other (please specify)","28","9.86"
"Previous bad experience","7","2.46"
