"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  265"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","67","25.28"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","65","24.53"
"I don’t take any medications","59","22.26"
"I have reduced my prescription medication use in the past","57","21.51"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","39","14.72"
"Anti-inflammatories","35","13.21"
"I'm not trying to reduce any medication use","35","13.21"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","34","12.83"
"Muscle relaxants","33","12.45"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","27","10.19"
"Other (please specify)","15","5.66"
"Statins (e.g. Lipitor, Crestor)","11","4.15"
"Steroids, including steroid creams","10","3.77"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","10","3.77"
"Antimigraine","9","3.4"
"Sedatives/hypnotics","9","3.4"
"Antihypertensives","8","3.02"
"Beta Blockers","6","2.26"
"Antipsychotics (e.g. Abilify, Seroquel)","5","1.89"
"Proton pump inhibitors","5","1.89"
"Insulin","3","1.13"
"Barbiturates (e.g. Floricet)","2","0.75"
"Hormone replacement therapy (HRT)","1","0.38"
