"q67","Which VA do you go to?","n =  515"
"response","count","percent_responded"
"None","21","4.08"
"none","12","2.33"
"N/A","11","2.14"
"Providence","10","1.94"
"n/a","9","1.75"
"Togus","8","1.55"
"Boston","6","1.17"
"Worcester","6","1.17"
"Bedford","5","0.97"
"Leeds","4","0.78"
"Providence ","4","0.78"
"Bedford ","3","0.58"
"Brockton","3","0.58"
"Brockton MA","3","0.58"
"Northampton","3","0.58"
"Pittsburgh","3","0.58"
"Providence RI","3","0.58"
"Springfield Ma","3","0.58"
"American Lake","2","0.39"
"Atlanta","2","0.39"
"Baltimore ","2","0.39"
"Bedford, MA","2","0.39"
"Boston - JP","2","0.39"
"Boston JP","2","0.39"
"Fitchburg ","2","0.39"
"I don't","2","0.39"
"I dont","2","0.39"
"Indianapolis ","2","0.39"
"leeds","2","0.39"
"Leeds, MA","2","0.39"
"Loma Linda ","2","0.39"
"Lynn","2","0.39"
"Manchester","2","0.39"
"Manchester, NH","2","0.39"
"Martinez, CA","2","0.39"
"N/a","2","0.39"
"na","2","0.39"
"Na","2","0.39"
"Newington, CT","2","0.39"
"nj","2","0.39"
"No","2","0.39"
"Northampton ","2","0.39"
"Portland","2","0.39"
"Providence, R.I.","2","0.39"
"Raymond G Murphy","2","0.39"
"Savannah ","2","0.39"
"Washington","2","0.39"
"West Roxbury","2","0.39"
"West Roxbury ","2","0.39"
"worcester","2","0.39"
"Worcester ","2","0.39"
"Worcester MA","2","0.39"
"Worcester, MA","2","0.39"
" Brockton Massachusetts","1","0.19"
"A","1","0.19"
"Aht aht ","1","0.19"
"Alaska","1","0.19"
"Albany, NY","1","0.19"
"Albuquerque ","1","0.19"
"All mass clinics","1","0.19"
"Anne Arbor","1","0.19"
"Asheville, NC","1","0.19"
"Augusta","1","0.19"
"Baltimore VA Medical Center","1","0.19"
"Baton Rouge","1","0.19"
"Bay Pines","1","0.19"
"Baypines Va","1","0.19"
"Beaumont TX","1","0.19"
"bedford","1","0.19"
"bedford , ma","1","0.19"
"Bedford VA Hospital ","1","0.19"
"Bedford va medical ","1","0.19"
"Bedford, ma","1","0.19"
"BOHC","1","0.19"
"boston","1","0.19"
"Boston ","1","0.19"
"Boston & Worcester","1","0.19"
"Boston (JP/West Roxbury)","1","0.19"
"boston area","1","0.19"
"boston campus","1","0.19"
"boston ma","1","0.19"
"Boston MA","1","0.19"
"Boston WRox","1","0.19"
"Brewer","1","0.19"
"Brockton ","1","0.19"
"Brockton VA","1","0.19"
"Brockton, J.P. , W. Roxbury","1","0.19"
"Brockton, JP , west roxbury","1","0.19"
"Brockton, Ma","1","0.19"
"Brockton. Massachusetts","1","0.19"
"Brooksville","1","0.19"
"Burlington vermont","1","0.19"
"Campbell county  va","1","0.19"
"cape coral.","1","0.19"
"Captain James A lovell federal health care center","1","0.19"
"Captain James A. Federal Health Care Center, North Chicago VA, IL","1","0.19"
"Caribou Maine","1","0.19"
"Castle Point, VAHVHCS","1","0.19"
"CBOC Yuma AZ","1","0.19"
"Central Western MA","1","0.19"
"Chalmers P. Wilie Ambulatory Care Center","1","0.19"
"Charleston VA weapons station ","1","0.19"
"Charlie Norwood va","1","0.19"
"Cheyenne","1","0.19"
"Cheyenne and Denver","1","0.19"
"Cincinnati VA","1","0.19"
"Clairmont Rd, decatur","1","0.19"
"Clarksville ,Tn","1","0.19"
"Cleveland","1","0.19"
"Colorado VA","1","0.19"
"columbia,sc","1","0.19"
"Conroe TX","1","0.19"
"Corpus Christi, Texas ","1","0.19"
"Davenport, IA ","1","0.19"
"Dayton VAMC","1","0.19"
"DC VAMC","1","0.19"
"Denver ","1","0.19"
"Denver & Golden","1","0.19"
"Detroit","1","0.19"
"do not go to va","1","0.19"
"Do not go to va","1","0.19"
"Do not go to VA","1","0.19"
"do not use va","1","0.19"
"don't","1","0.19"
"Don't ","1","0.19"
"Don't go to VA","1","0.19"
"Don’t ","1","0.19"
"Don’t use va","1","0.19"
"Dorn VA - Columbia, SC","1","0.19"
"Dorn VA in Columbia, SC","1","0.19"
"Downtown Los Angeles ","1","0.19"
"Dublin, Ga.","1","0.19"
"Durham and Raleigh NC","1","0.19"
"Edith Nourse Hospital, Bedford, MA","1","0.19"
"Eglin","1","0.19"
"El Paso","1","0.19"
"El Paso, TX","1","0.19"
"Eureka ca","1","0.19"
"Evansville ","1","0.19"
"Fayetteville AR","1","0.19"
"Fayetteville,Ar","1","0.19"
"Fitchburg","1","0.19"
"Fitchburg Outpatient Clinic","1","0.19"
