"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  148"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","53","35.81"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","42","28.38"
"I have reduced my prescription medication use in the past","33","22.3"
"Anti-inflammatories","32","21.62"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","28","18.92"
"Muscle relaxants","24","16.22"
"I'm not trying to reduce any medication use","23","15.54"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","20","13.51"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","18","12.16"
"I don’t take any medications","13","8.78"
"Statins (e.g. Lipitor, Crestor)","11","7.43"
"Other (please specify)","10","6.76"
"Sedatives/hypnotics","10","6.76"
"Beta Blockers","8","5.41"
"Antihypertensives","6","4.05"
"Antimigraine","6","4.05"
"Steroids, including steroid creams","6","4.05"
"Antipsychotics (e.g. Abilify, Seroquel)","4","2.7"
"Barbiturates (e.g. Floricet)","3","2.03"
"Insulin","3","2.03"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","3","2.03"
"Proton pump inhibitors","2","1.35"
"Hormone replacement therapy (HRT)","1","0.68"
