"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  333  avg =  95.79"
"response","count","percent_responded"
"0","159","47.75"
"100","15","4.5"
"20","13","3.9"
"30","13","3.9"
"400","12","3.6"
"10","10","3"
"150","9","2.7"
"200","9","2.7"
"25","7","2.1"
"300","7","2.1"
"50","7","2.1"
"500","7","2.1"
"40","6","1.8"
"60","5","1.5"
"250","4","1.2"
"55","4","1.2"
"80","4","1.2"
"15","3","0.9"
"350","3","0.9"
"45","3","0.9"
"1000","2","0.6"
"7","2","0.6"
"70","2","0.6"
"700","2","0.6"
"75","2","0.6"
"800","2","0.6"
"9","2","0.6"
"1","1","0.3"
"1200","1","0.3"
"125","1","0.3"
"140","1","0.3"
"1400","1","0.3"
"1500","1","0.3"
"16","1","0.3"
"160","1","0.3"
"195","1","0.3"
"24","1","0.3"
"35","1","0.3"
"440","1","0.3"
"46","1","0.3"
"5","1","0.3"
"56","1","0.3"
"600","1","0.3"
"8","1","0.3"
"90","1","0.3"
"900","1","0.3"
