"q48","What are your general thoughts regarding the legalization of cannabis?","n =  268"
"response","count","percent_responded"
"About time","3","1.12"
"Legalize it","3","1.12"
"Love it","3","1.12"
"Good","2","0.75"
"Good ","2","0.75"
"It should be legal","2","0.75"
"Yes","2","0.75"
"100 for it","1","0.37"
"100% in favor. ","1","0.37"
"100% pro","1","0.37"
"A positive turn for patients with a wide spectrum of issues. Less pharmies and more naturals! We've all seen the effects of too many pills on our neighbors, friends and family. Offer more alternatives and let people decide for themselves what works better for them and has less side effects.","1","0.37"
"About time!","1","0.37"
"About time!  ","1","0.37"
"about time. ","1","0.37"
"All for it","1","0.37"
"All in!!!","1","0.37"
"As a UK resident, any move in the law to help me to access medicinal cannabis","1","0.37"
"As with any ingested substance that affects the body, there are risks for abuse and disuse, along with potential unintended social side effects, but when compared to other socially acceptable substances - notably alcohol - it is far less risky.  If nothing else, legalization should open up the doors for deep medical research which will hopefully provide effective alternatives to pharmaceuticals for many people.","1","0.37"
"Awesome","1","0.37"
"awesome ","1","0.37"
"Awesome ","1","0.37"
"Better than alcohol/pills","1","0.37"
"Bring it on! ","1","0.37"
"Cannabis being sold from the dispensary will have been controlled vs what we call 'street weed' that can have foreign substances in them without your knowledge","1","0.37"
"cannabis should be 100% legal on federal and state levels just like alcohol.","1","0.37"
"Cannabis should be legal to buy and grow everywhere in the world","1","0.37"
"complete legalization in the usa, age restrictions and penalties for overuse","1","0.37"
"definitely in favor of legalization and decriminalization including retro-actively for those with cannabis possession felony charges","1","0.37"
"do it","1","0.37"
"Do it","1","0.37"
"Do it immediately with strict regulations on methods of processing to avoid the path of tobacco, poppy, and other plants made dangerous by overzealous processing for profit.","1","0.37"
"Do it!!","1","0.37"
"Do it. But don't let the Feds, or wall street, have anything to do with it","1","0.37"
"Excellent, about time!!!","1","0.37"
"Excited that it finally happened ","1","0.37"
"Excited, but I hope the education about Cannabis is still prioritized.","1","0.37"
"Extremely happy","1","0.37"
"Federal Legalization ","1","0.37"
"finally legal","1","0.37"
"fine with it if labelling of product is regulated for accuracy and more studies and results are available for strains, side effects. etc.","1","0.37"
"for it","1","0.37"
"For it as long as dispensaries are able to maintain medicinal needs","1","0.37"
"Freedom ","1","0.37"
"Fuck yeah","1","0.37"
"Full legalization; regulation.  Give the tax funds to schools","1","0.37"
"General thoughts are about time ","1","0.37"
"Get it live in Ma","1","0.37"
"good","1","0.37"
"Good for adults","1","0.37"
"Good idea, will be interesting to see how it integrates into society.","1","0.37"
"Good idea. All around good idea","1","0.37"
"Good mushrooms should be next","1","0.37"
"Great","1","0.37"
"Great idea","1","0.37"
"Great!!! It has helped me so much with seizures and anxiety! I think more info should be available about cultivation and extraction techniques.","1","0.37"
"Greatest thing ever ","1","0.37"
"Happy it’s legal and can get it from a safe source","1","0.37"
"Hope it will be legalized nationally ","1","0.37"
"Hurry up!","1","0.37"
"Hurry up!!!!","1","0.37"
"I'm 100% in support of it.","1","0.37"
"I'm all for ending the prohibition of cannabis  ","1","0.37"
"I'm all for it ","1","0.37"
"I'm all for it.  It's part of my and so many others regimen of good health. ","1","0.37"
"I'm for it.  However, there needs to be guidelines as to how much an individual can buy in a given time.  If anything but to discourage reselling in the black market","1","0.37"
"I agree with the legalization of cannabis. I feel it is something that wont kill you such as things like alcohol and tobacco. It will help support schools, and communities off of the taxes not to mention the jobs that are created from it.","1","0.37"
"I am 100% in support of legalization. I smoke cannabis religiously and do not see my life any better without it.","1","0.37"
"I am behind decriminalizing natural remedies and methods to enhance the human experience. I am most concerned about big business using cannabis to achieve enormous personal gain without being involved in the community. In other words, I'd like us to maintain cannabis' sovereignty from the ways of the pharmaceutical giants and keep it in the public domain.","1","0.37"
"I am for it","1","0.37"
"I am glad that it’s getting shown in a new light, that it truly has medical and therapeutic benefits and that it’s not some dangerous gateway drug that’s as bad as the truly dangerous drugs out there. I am happy I can get my cannabis in a safe secure dispensary instead of needing to get it off the streets.  At the same time, I see it as something that can be enjoyed like coffee, and hopefully it is seen like that sometime in the future.","1","0.37"
"I am hopeful it will benefit the general population and happy that we are finally at this point.","1","0.37"
"I am totally in favor!","1","0.37"
"I am very excited, it has been a long time coming, I rather see many people relaxed and feeling good from a natural leaf, than with opiods or alcohol","1","0.37"
"I believe it should happen yesterday","1","0.37"
"I believe that everyone 21 and older should have access to cannabis as long as it does not deter patients from having access to their medicine. ","1","0.37"
"I believe that there are many more health benefits than there are negative. It helps better than any anti-depressant that I've ever used.","1","0.37"
"I believe this is an amazing plant and it can truly help people lead better, more fulfilling lives.  It can even save lives in many instances.  I fully support the legalization of cannabis.  It is an extremely valuable medicine for many different ailments/mental health disorders.","1","0.37"
"I can't wait to freely purchase cannabis edibles for my anxiety. A friend of mine is currently making the eatables for me.","1","0.37"
"I don’t agree with it.  I don’t think recreational should be legal.  Afraid it will be misused. I don’t want to get high.","1","0.37"
"I feel it should be legalized world wide","1","0.37"
"I feel like its a fine idea. Its safer than alcohol and provides tons of benefits","1","0.37"
"I fell is less dangerous than alcohol","1","0.37"
"I fully support the legalization of cannabis.  It is an amazing plant that helps so many people in many different ways.","1","0.37"
"I hope it becomes federally legalized and regulated ","1","0.37"
"I like it","1","0.37"
"I strongly support legalization","1","0.37"
"I think it's a great idea, and a great way for our struggling economy to rebuild by taxing use and putting it back into our infrastructure, education, benefits for disadvantaged folks. I'm all for it! Cannabis has so many beneficial uses, and I find it disheartening that it's categorized in the same drug class as heroine and other opioids.","1","0.37"
"I think it's a great movement ","1","0.37"
"I think it's a net good, but I wish more attention was paid to the downsides of cannabis use, especially in younger people. Media has almost swung too far in the ""weed is good!"" direction. For some people, it's a bad choice. A little more care and caution in trying cannabis should be promoted.","1","0.37"
"I think it's great!","1","0.37"
"I think it is a good thing, it is a very helpful medicine in many different ways for so many people. ","1","0.37"
"I think it is criminal that there are still states under prohibition.  I have relatives who suffer seizures.  They are contemplating moving to a legal state.  Every American citizen should have access.","1","0.37"
"I think it is great and hope it continues to be more regulated, hopefully stay same prices or get cheaper, and stigma decreases","1","0.37"
"i think it is great.. alcohol is far more damaging and socially accepted.. crazy","1","0.37"
"I think it is important that it is legalized. Too many people have been arrested over marijuana.","1","0.37"
"I think it should be legal across the board federally ","1","0.37"
"I think it should be legal and used for all kinds of funding.","1","0.37"
"I think it should be recreationally legal and available to those over the age of 18. And medically available with doctor advisement to those under 18. I firmly believe in cannabis’ medicinal benefits. ","1","0.37"
"I think it’s awesome! It’s about time it has so many health benefits everyone could benefit by using it. ","1","0.37"
"I think its great for people who have medical needs glad it got legalize.","1","0.37"
"I think people have the right to try, but I also believe regulation allows safe production of cannabis products. Regulation should help stop the market both legitimate and black; from being saturated, it needs quality control and safe tasting prior to distribution ","1","0.37"
"I think ppl will absue it","1","0.37"
"I think that it is about time!","1","0.37"
"I think that it is crazy that alcohol is legal over cannabis - LEGALIZE LEGALIZE LEGALIZE ","1","0.37"
"I think the U.S. Gov needs to amend weed and make it legal for everyone to use in every state. I should be able to travel with my medicine & use my medicine no matter which state i visit.","1","0.37"
"I think we're still behind the times. I'm moving to New Jersey next month, where I'll have to see a local doctor for at least one year before I can even get attempt to get registered for medical marijuana use. When I stop smoking, I get sick to the point of vomiting. And now I HAVE to stop smoking, or break the law. It's painful and unnecessary.","1","0.37"
"I think we need to make sure our social equity programs are seen through to the end.","1","0.37"
"I wish it were legal.  I think the government ought to be ashamed for hiding the medical benefits of this plant for all this time and for all the lives ruined for using this plant. I also don't think Monsanto or any other chemical company should be allowed to have anything to do with the growth or distribution of this plant.","1","0.37"
"I wish they would have done it sooner ","1","0.37"
"I’m all for it!! Our laws are very outdated to the research and effects that cannabis has. Only positive vibes!!!","1","0.37"
"I’m pretty happy about it and maybe it can reduce stigma","1","0.37"
"I’m so for it the amount of jobs and tax revenue it will bring to the state of Massachusetts is astronomical and important for us to grow as a state ","1","0.37"
"If it helps its good","1","0.37"
"If it is legalized, there needs to be better consumer education regarding safe consumption.  ","1","0.37"
