"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  78  avg =  76"
"response","count","percent_responded"
"100","44","56.41"
"0","6","7.69"
"25","3","3.85"
"75","3","3.85"
"90","3","3.85"
"2","2","2.56"
"30","2","2.56"
"50","2","2.56"
"1","1","1.28"
"18","1","1.28"
"26","1","1.28"
"4","1","1.28"
"40","1","1.28"
"61","1","1.28"
"80","1","1.28"
"81","1","1.28"
"93","1","1.28"
"96","1","1.28"
"97","1","1.28"
"98","1","1.28"
"99","1","1.28"
