"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  641"
"response","count","percent_responded"
"Dry mouth","435","67.86"
"More or less talkative","222","34.63"
"Changes in appetite","206","32.14"
"Sleepiness/fatigue","193","30.11"
"Increased energy","191","29.8"
"Memory problems","148","23.09"
"Experienced no side effects","98","15.29"
"Feeling of being ""altered""","87","13.57"
"Changes in libido","82","12.79"
"Difficultly concentrating","79","12.32"
"Heart racing/palpitations","75","11.7"
"Paranoia","75","11.7"
"Racing thoughts","65","10.14"
"Anxiety","61","9.52"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","60","9.36"
"Tough to get started in the morning (lassitude)","55","8.58"
"Apathy","32","4.99"
"Dizziness","31","4.84"
"Other (please specify)","31","4.84"
"Headache","27","4.21"
"Nausea","15","2.34"
"Sweating","14","2.18"
"Depression","12","1.87"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","11","1.72"
