"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  101"
"response","count","percent_responded"
"Bachelors degree","32","31.68"
"Some college, no degree","28","27.72"
"Associate degree","14","13.86"
"Masters degree","10","9.9"
"High school degree or equivalent (GED)","7","6.93"
"Less than high school diploma","4","3.96"
"Doctorate (Ph.D., EdD, etc)","3","2.97"
"Professional degree (MD, JD, DDS, DVM)","3","2.97"
