"q48","What are your general thoughts regarding the legalization of cannabis?","n =  222"
"response","count","percent_responded"
"All for it","2","0.9"
"Fantastic ","2","0.9"
"100 for it","1","0.45"
"100% agree in medical use, want to see it legal for medical at the Federal level.  If it is legal for recreational use, users need to be at least 25 as it seems to have negative side effects more on a developing brain.  It is a lot safer than alcohol, but especially with a younger brain, it is not innocuous. ","1","0.45"
"100% for legalization ","1","0.45"
"50/50 I want it to happen but I don’t want the standardization to limit quality. ","1","0.45"
"About bloody time ","1","0.45"
"About Fucking Time","1","0.45"
"About time","1","0.45"
"About time ","1","0.45"
"Agree","1","0.45"
"Alcohol is legal, and I consider them to be equal for recreational use.  I like that laws are being made to ensure safety.  I will continue to use my dispensary.","1","0.45"
"As a medical patient I find access awesome but some of the dispensaries are more strict than others. SERA naturals for example is like fort nox and I feel as though I'm being treated like a criminal in there. Also, some of the workers at dispensaries (NETA) get personally offended if you don't like their product even if it is objectively not of good quality. It takes a bit to find places that have all around great quality products and selection. So far Revolutionary Clinics is my favorite but their edible selection isn't great.","1","0.45"
"As a Veteran with PTSD in a state where it isn't legal, I have to watch friends die due to opioid addictions rather than allow them to smoke a plant. Where is the logic in that? I don't smoke to get ""high"", I smoke to get ""normal"".  I am off of over 15 drugs with cannabis and I can be a father. Where on the ""legal"" drugs I was a zombie","1","0.45"
"Awesome","1","0.45"
"Best news ever!!","1","0.45"
"best thing that has happened in years","1","0.45"
"Best thing that’s happened to medicine since the discovery of anesthesia. ","1","0.45"
"Big supporter especially in the age of opioid abuse and the reluctance of medical providers to prescribe opioid for real, actual and accute every day pain","1","0.45"
"can help many people , and cannabis users are usually good Americans just trying to get by in life.","1","0.45"
"Cannabis should be legalized federally across-the-board alcohol should be outlawed","1","0.45"
"CBD Oil has saved me from opioid usage..... I was sufferring for years with nothng but pharma meds, I was more sicker using pharma meds. As soon as I started using CBD Oil that all changed. It has helped me so much have a life I can finally live. It should be legalized, however it should also be regulated. To many companies out there trying to jump on the train when their products are crap. I get my oil from a reputable company no fillers CO2 processing and FDA approved facility. Education is needed all around for many so they are not taken advantage of. ","1","0.45"
"completely supportive. it's about time. ","1","0.45"
"Cool","1","0.45"
"Crazy that it took so many years. I love having legal access.","1","0.45"
"Definitely legalize it, since it helps alleviate pain.9","1","0.45"
"Definitely tax the rich","1","0.45"
