"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  174"
"response","count","percent_responded"
"Money to purchase products","79","45.4"
"Access to the right products","71","40.8"
"Money required to get medical card","51","29.31"
"Owning a firearm","51","29.31"
"Workplace testing or other policies","49","28.16"
"Stigma","47","27.01"
"Place to consume cannabis","36","20.69"
"Lack of knowledge","26","14.94"
"Other (please specify)","23","13.22"
"Previous bad experience","2","1.15"
