"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  419  avg =  64.804"
"response","count","percent_responded"
"100","197","47.02"
"0","74","17.66"
"50","11","2.63"
"75","10","2.39"
"98","10","2.39"
"99","10","2.39"
"10","7","1.67"
"30","7","1.67"
"1","6","1.43"
"90","6","1.43"
"4","5","1.19"
"5","5","1.19"
"80","5","1.19"
"15","4","0.95"
"25","4","0.95"
"95","4","0.95"
"97","4","0.95"
"12","3","0.72"
"2","3","0.72"
"85","3","0.72"
"96","3","0.72"
"13","2","0.48"
"17","2","0.48"
"18","2","0.48"
"19","2","0.48"
"3","2","0.48"
"52","2","0.48"
"6","2","0.48"
"7","2","0.48"
"9","2","0.48"
"14","1","0.24"
"23","1","0.24"
"26","1","0.24"
"27","1","0.24"
"33","1","0.24"
"37","1","0.24"
"40","1","0.24"
"42","1","0.24"
"48","1","0.24"
"49","1","0.24"
"51","1","0.24"
"61","1","0.24"
"67","1","0.24"
"73","1","0.24"
"81","1","0.24"
"82","1","0.24"
"86","1","0.24"
"87","1","0.24"
"91","1","0.24"
"93","1","0.24"
