"q21","How many total prescription medications are you currently taking? (Please insert number)","n =  79  avg =  6.85"
"response","count","percent_responded"
"4","13","16.46"
"5","13","16.46"
"2","7","8.86"
"3","7","8.86"
"6","6","7.59"
"0","5","6.33"
"7","5","6.33"
"8","5","6.33"
"9","3","3.8"
"1","2","2.53"
"17","2","2.53"
"10","1","1.27"
"11","1","1.27"
"12","1","1.27"
"13","1","1.27"
"14","1","1.27"
"15","1","1.27"
"19","1","1.27"
"20","1","1.27"
"21","1","1.27"
"30","1","1.27"
"50","1","1.27"
