"q21","What products/strains do you want that are not currentlyt available in your local dispensaries?","n =  529"
"response","count","percent_responded"
"None","37","6.99"
"none","22","4.16"
"N/A","14","2.65"
"unknown","8","1.51"
"n/a","7","1.32"
"Na","7","1.32"
"don't know","5","0.95"
"Not sure","5","0.95"
"Don’t know","4","0.76"
"dont know","4","0.76"
"I don't know","3","0.57"
"na","3","0.57"
"All","2","0.38"
"CBD","2","0.38"
"Don't know","2","0.38"
"Dont know","2","0.38"
"i don't know yet","2","0.38"
"More 10 and 20 mg lozenges","2","0.38"
"N/a","2","0.38"
"no idea","2","0.38"
"None ","2","0.38"
"not sure","2","0.38"
"sativa","2","0.38"
"Skunk","2","0.38"
"Sour Diesel","2","0.38"
"Unknown","2","0.38"
"Unsure","2","0.38"
"1-2 mg THC gummies","1","0.19"
"1 to 1 through 2 to 1 THC to CBD strains","1","0.19"
"1:1 ratio thc cbd","1","0.19"
"2:1 in a 500 mg. and 1000 mg. cartridges","1","0.19"
"2:1 THC:CBD","1","0.19"
"20 to 1","1","0.19"
"3D-3, 3D-6","1","0.19"
"3D-CBC","1","0.19"
"4way","1","0.19"
"9 pound Hammer","1","0.19"
"A balm that works for bursitis.","1","0.19"
"A higher ratio cbd/thc tincture. ","1","0.19"
"A lot","1","0.19"
"A peer is in process of getting licensed; I am one individual who is assisting the peer with “perfecting” the product for pain relief. I do not know strains ","1","0.19"
"aaa","1","0.19"
"Ac dc","1","0.19"
"AC/DC ","1","0.19"
"AC/DC, Harliquin ","1","0.19"
"acapulco gold","1","0.19"
"acapulco gold, strains from 50 years ago.  ","1","0.19"
"Affordable Concentrate","1","0.19"
"Affordable edibles! ","1","0.19"
"affordable THCA extracts,  terpenes highlighted on label","1","0.19"
"Ak47","1","0.19"
"Akasha CBD:THC 3:1, Indica 300 mg tincture, FireBird  1:1 pills","1","0.19"
"Alaskan Thunder Fuck, Frosted Freak  ","1","0.19"
"Alaskan Thunderfuck ","1","0.19"
"All CBD, zero THC","1","0.19"
"all good","1","0.19"
"All of them","1","0.19"
"all the aBOVE","1","0.19"
"All the above","1","0.19"
"All, I have no dispensary.","1","0.19"
"alpapko gold","1","0.19"
"Ambulance","1","0.19"
"Amnesia CBD Auto ","1","0.19"
"Amnesia Haze","1","0.19"
"Amnesia Haze, Hawaiian Snow","1","0.19"
"Any","1","0.19"
"Any Sativa dominated plant.","1","0.19"
"Anything ","1","0.19"
"anything with high THC :-)","1","0.19"
"Apothecanna Calm Lotion with THC","1","0.19"
"Avidekel","1","0.19"
"Barcelona ","1","0.19"
"Be able to get the same strains repeatedly, varieties available change constantly","1","0.19"
"Best CBD/THC tinctures ","1","0.19"
"Better edibles","1","0.19"
"better selection of disposable vape pens","1","0.19"
"better tasting strains","1","0.19"
"Beverages ","1","0.19"
"Blackwater ","1","0.19"
"blond hash not bubble hash","1","0.19"
"blue dream","1","0.19"
"Blue Dream","1","0.19"
"Blue Dream, Gorilla strains, prefer high THC strains","1","0.19"
"Blue Dreams","1","0.19"
"blueberry","1","0.19"
"Blueberry kush","1","0.19"
"Breakfast, Bay11","1","0.19"
"Brownies","1","0.19"
"bruce banner","1","0.19"
"Bubble Hash","1","0.19"
"Can't think of any ","1","0.19"
"can't think of anything","1","0.19"
"Candyland","1","0.19"
"Canna butter","1","0.19"
"Cannatonic","1","0.19"
"Cannatonic flower vape, TD patches","1","0.19"
"capsules","1","0.19"
"Cartridge refills","1","0.19"
"Caviar joints","1","0.19"
"Cbd capsules","1","0.19"
"Cbd honey more choices of cbd strains","1","0.19"
"cbd oil","1","0.19"
"CBD strains","1","0.19"
"CBD Yummy ","1","0.19"
"cbd/thc honey","1","0.19"
"CBDA THCA THCV","1","0.19"
"Charlottes web","1","0.19"
"Chatlottes Web","1","0.19"
"chewable THC/CBD, Charlotte's Web, many others","1","0.19"
"Chuck og","1","0.19"
"Coconut oil","1","0.19"
"concentrate","1","0.19"
"Concentrates","1","0.19"
"consistency is the hardest part may carry what I need one week but not the next","1","0.19"
"Consistent selection","1","0.19"
"Cookies","1","0.19"
"Cookies and cream","1","0.19"
"Disolvable edibles","1","0.19"
"DNA Lemon Skunk","1","0.19"
"do not know","1","0.19"
"Do not know.  Never been in one.","1","0.19"
"Do not purchase cannabis... grow my own","1","0.19"
"do not use a dispensary","1","0.19"
"do not use dispensaries","1","0.19"
"Does not apply","1","0.19"
"don'[t know","1","0.19"
"don't frequent dispensaries","1","0.19"
"Don't know of any","1","0.19"
"Don't know.","1","0.19"
"don't use","1","0.19"
"Don’t go to a dispensary ","1","0.19"
"Don’t know ","1","0.19"
"Don’t know what is available ","1","0.19"
"Don’t know...still learning more about which may work well for me.","1","0.19"
"Don’t know/ no dispensaries in my area","1","0.19"
"Don’t use a dispensary ","1","0.19"
"dont know what works best yet","1","0.19"
"dr. grinspoon","1","0.19"
"Drinks and more food ","1","0.19"
"Durban poison ","1","0.19"
"Durban Poison ","1","0.19"
"Durbhan","1","0.19"
