"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  56"
"response","count","percent_responded"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","33","58.93"
"Smoke flower","23","41.07"
"Vape cartridges","22","39.29"
"Tinctures","17","30.36"
"Vape flower","14","25"
"Salves/topicals","13","23.21"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","11","19.64"
"Capsules","7","12.5"
"Transdermal patches","5","8.93"
"Other (please specify)","2","3.57"
"Suppositories","1","1.79"
