"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  284  avg =  20.5"
"response","count","percent_responded"
"0","86","30.28"
"50","15","5.28"
"1","10","3.52"
"16","7","2.46"
"19","6","2.11"
"21","6","2.11"
"51","6","2.11"
"7","6","2.11"
"13","5","1.76"
"2","5","1.76"
"24","5","1.76"
"27","5","1.76"
"29","5","1.76"
"35","5","1.76"
"6","5","1.76"
"100","4","1.41"
"20","4","1.41"
"25","4","1.41"
"26","4","1.41"
"3","4","1.41"
"4","4","1.41"
"49","4","1.41"
"5","4","1.41"
"8","4","1.41"
"10","3","1.06"
"11","3","1.06"
"15","3","1.06"
"22","3","1.06"
"28","3","1.06"
"30","3","1.06"
"33","3","1.06"
"38","3","1.06"
"39","3","1.06"
"64","3","1.06"
"9","3","1.06"
"14","2","0.7"
"17","2","0.7"
"23","2","0.7"
"32","2","0.7"
"36","2","0.7"
"44","2","0.7"
"48","2","0.7"
"52","2","0.7"
"70","2","0.7"
"83","2","0.7"
"18","1","0.35"
"34","1","0.35"
"42","1","0.35"
"43","1","0.35"
"45","1","0.35"
"46","1","0.35"
"47","1","0.35"
"53","1","0.35"
"54","1","0.35"
"57","1","0.35"
"60","1","0.35"
"61","1","0.35"
"65","1","0.35"
"66","1","0.35"
"69","1","0.35"
"71","1","0.35"
"76","1","0.35"
"80","1","0.35"
