"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  151"
"response","count","percent_responded"
"Bachelors degree","50","33.11"
"Some college, no degree","38","25.17"
"Associate degree","15","9.93"
"High school degree or equivalent (GED)","15","9.93"
"Masters degree","13","8.61"
"Professional degree (MD, JD, DDS, DVM)","8","5.3"
"Less than high school diploma","6","3.97"
"Doctorate (Ph.D., EdD, etc)","4","2.65"
"Prefer not to answer","2","1.32"
