"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  32"
"response","count","percent_responded"
"Money to purchase products","15","46.88"
"Access to the right products","9","28.12"
"Place to consume cannabis","9","28.12"
"Stigma","9","28.12"
"Money required to get medical card","7","21.88"
"Workplace testing or other policies","7","21.88"
"Other (please specify)","4","12.5"
"Lack of knowledge","3","9.38"
"Owning a firearm","2","6.25"
