"q21","How many total prescription medications are you currently taking? (Please insert number)","n =  333  avg =  4.17"
"response","count","percent_responded"
"0","74","22.22"
"4","40","12.01"
"1","38","11.41"
"2","33","9.91"
"3","33","9.91"
"5","24","7.21"
"6","22","6.61"
"7","18","5.41"
"8","14","4.2"
"9","9","2.7"
"10","6","1.8"
"12","4","1.2"
"15","4","1.2"
"13","2","0.6"
"14","2","0.6"
"20","2","0.6"
"21","2","0.6"
"16","1","0.3"
"17","1","0.3"
"18","1","0.3"
"19","1","0.3"
"30","1","0.3"
"50","1","0.3"
