"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  148"
"response","count","percent_responded"
"Chronic pain","60","40.54"
"Posttraumatic stress disorder (PTSD)","35","23.65"
"Arthritis","9","6.08"
"Cancer","8","5.41"
"Diabetes","5","3.38"
"Depression","4","2.7"
"Anxiety","3","2.03"
"Cardiovascular disease","3","2.03"
"Fibromyalgia/myositis","3","2.03"
"Insomnia","3","2.03"
"Respiratory problems","3","2.03"
"Bipolar/manic depression","2","1.35"
"Gastrointestinal/digestive system disorders","2","1.35"
"Hypertension","2","1.35"
"Allergies","1","0.68"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.68"
"HIV/AIDS","1","0.68"
"Inflammatory bowel disease (IBD)","1","0.68"
"Multiple sclerosis","1","0.68"
"Obesity","1","0.68"
