"q14","What are the effects of your pain? (Please select all that apply)","n =  1"
"response","count","percent_responded"
"Anxiety","1","100"
"Appetite","1","100"
"Concentration","1","100"
"Depression","1","100"
"Energy level","1","100"
"Enjoyment of life","1","100"
"Household chores","1","100"
"Memory","1","100"
"Mobility","1","100"
"Mood","1","100"
"Personal care","1","100"
"Physical activity","1","100"
"Relationships with others","1","100"
"Self esteem","1","100"
"Sexual functioning","1","100"
"Sleep","1","100"
