"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  269"
"response","count","percent_responded"
"Anxiety","259","96.28"
"Depression","179","66.54"
"Sleep","179","66.54"
"Pain","104","38.66"
"Nausea","64","23.79"
"Attention/concentration","62","23.05"
"Headache","61","22.68"
"Inflammation","61","22.68"
"Aggression","42","15.61"
"Appetite/weight","39","14.5"
"Other (please specify)","15","5.58"
"Spasms","14","5.2"
"Skin conditions","11","4.09"
"Respiratory","7","2.6"
"Drug withdrawl","6","2.23"
"Ocular pressure","6","2.23"
"Seizures","5","1.86"
"Mainia/psychosis","4","1.49"
"No Symptoms","1","0.37"
