"q14","What are the effects of your pain? (Please select all that apply)","n =  88"
"response","count","percent_responded"
"Physical activity","82","93.18"
"Enjoyment of life","78","88.64"
"Sleep","72","81.82"
"Mobility","67","76.14"
"Energy level","64","72.73"
"Mood","59","67.05"
"Depression","52","59.09"
"Household chores","49","55.68"
"Concentration","48","54.55"
"Relationships with others","43","48.86"
"Anxiety","41","46.59"
"Sexual functioning","37","42.05"
"Self esteem","33","37.5"
"Personal care","27","30.68"
"Memory","24","27.27"
"Appetite","19","21.59"
