Respondent ID,Did you ever go on combat patrols or have other dangerous duty?,Were you ever under enemy fire?,Were you ever surrounded by the enemy?,"What percentage of the soldiers in your unit were killed (KIA), wounded or missing in action (MIA)?",How often did you fire rounds at the enemy?,How often did you see someone hit by incoming or outgoing rounds?,"How often were you in danger of being injured or killed (i.e., being pinned down, overrun, ambushed, near miss, etc.)?"
,Response,Response,Response,Response,Response,Response,Response
11250741921,5,5,3,2,4,5,4
11250528880,5,3,2,1,2,1,5
11249989922,1,1,1,2,1,2,1
11249911719,2,4,2,3,5,4,5
11249860217,3,1,1,3,2,1,2
11249421052,5,5,5,2,4,3,4
11239041530,1,1,2,1,2,1,1
11238685800,2,1,1,1,2,1,1
11238671751,4,4,1,2,4,2,2
11238558967,5,5,2,2,2,1,2
11236750096,5,4,1,2,1,2,2
11211717848,5,5,2,2,1,2,4
11164232720,3,2,1,1,1,2,3
11142252658,3,4,5,1,3,2,1
11141027225,2,2,2,2,1,1,2
11140569970,2,2,2,2,1,1,2
11136832253,4,5,2,2,2,4,5
11135778856,5,3,2,2,3,4,4
11135466512,2,2,1,1,1,1,2
11135389919,1,2,1,1,1,1,2
11135122023,3,2,1,1,1,1,3
11135087208,2,2,1,2,1,1,1
11135054557,4,3,3,2,2,1,5
11134932854,4,5,5,2,4,3,5
11134799419,5,3,1,2,3,2,4
11134769709,5,2,2,2,3,4,4
11134691787,5,3,1,2,2,2,3
11134536706,1,1,1,1,1,1,1
11134508380,2,2,1,2,1,1,2
11134504342,2,3,2,2,2,1,3
11134478610,4,1,1,2,1,2,1
11134451924,3,2,1,1,1,1,2
