"q39","PRIOR to COVID-19, what were some barriers for you 
consuming cannabis? Please select all that apply.","n =  187"
"response","count","percent_responded"
"Access to the right products","65","34.76"
"Money to obtain cannabis products","59","31.55"
"Other (please specify)","49","26.2"
"Stigma","48","25.67"
"Place to consume cannabis","38","20.32"
"Money required to get a medical card","27","14.44"
"Lack of healthcare provider involvement","25","13.37"
"Workplace testing or other policies","23","12.3"
"Lack of knowledge","15","8.02"
"Previous bad experience","3","1.6"
