"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  293  avg =  100.751"
"response","count","percent_responded"
"0","148","50.51"
"100","13","4.44"
"10","11","3.75"
"20","11","3.75"
"400","11","3.75"
"150","9","3.07"
"30","9","3.07"
"200","8","2.73"
"40","8","2.73"
"50","8","2.73"
"500","6","2.05"
"300","5","1.71"
"25","3","1.02"
"60","3","1.02"
"700","3","1.02"
"8","3","1.02"
"1","2","0.68"
"250","2","0.68"
"350","2","0.68"
"55","2","0.68"
"600","2","0.68"
"80","2","0.68"
"800","2","0.68"
"9","2","0.68"
"1000","1","0.34"
"1200","1","0.34"
"1400","1","0.34"
"15","1","0.34"
"1500","1","0.34"
"2000","1","0.34"
"24","1","0.34"
"4","1","0.34"
"44","1","0.34"
"440","1","0.34"
"45","1","0.34"
"450","1","0.34"
"46","1","0.34"
"5","1","0.34"
"56","1","0.34"
"7","1","0.34"
"70","1","0.34"
"75","1","0.34"
