"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  224"
"response","count","percent_responded"
"Smoke flower","91","40.62"
"Vape cartridges","43","19.2"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","34","15.18"
"Tinctures","20","8.93"
"Vape flower","16","7.14"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","11","4.91"
"Capsules","3","1.34"
"Other (please specify)","2","0.89"
"Suppositories","2","0.89"
"Salves/topicals","1","0.45"
"Transdermal patches","1","0.45"
