"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  299"
"response","count","percent_responded"
"Chronic pain","137","45.82"
"Posttraumatic stress disorder (PTSD)","48","16.05"
"Anxiety","16","5.35"
"Cancer","16","5.35"
"Arthritis","14","4.68"
"Depression","14","4.68"
"Insomnia","9","3.01"
"Cardiovascular disease","7","2.34"
"Diabetes","7","2.34"
"Respiratory problems","6","2.01"
"Fibromyalgia/myositis","4","1.34"
"Gastrointestinal/digestive system disorders","4","1.34"
"Hypertension","3","1"
"Multiple sclerosis","3","1"
"Obesity","3","1"
"Bipolar/manic depression","2","0.67"
"Allergies","1","0.33"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.33"
"HIV/AIDS","1","0.33"
"Inflammatory bowel disease (IBD)","1","0.33"
"Reflux esophagitis","1","0.33"
"Substance abuse/addiction","1","0.33"
