"q48","What are your general thoughts regarding the legalization of cannabis?","n =  907"
"response","count","percent_responded"
"About time","9","0.99"
"Legalize it","6","0.66"
"All for it","5","0.55"
"Love it","5","0.55"
"Good","4","0.44"
"Should be legal","4","0.44"
"About time ","3","0.33"
"About time!","3","0.33"
"Do it","3","0.33"
"Finally!","3","0.33"
"Good ","3","0.33"
"I think it should be legal","3","0.33"
"It's about time","3","0.33"
"It's about time.","3","0.33"
"Positive ","3","0.33"
"Very happy","3","0.33"
"yes","3","0.33"
"Yes","3","0.33"
"Agree","2","0.22"
"Awesome","2","0.22"
"Awesome ","2","0.22"
"do it","2","0.22"
"Fantastic ","2","0.22"
"Finally","2","0.22"
"for it","2","0.22"
"good","2","0.22"
"Great","2","0.22"
"Happy","2","0.22"
"I am all for it","2","0.22"
"It's about time!","2","0.22"
"It should be legal","2","0.22"
"It should be legalized","2","0.22"
"It should be legalized ","2","0.22"
"It’s about time ","2","0.22"
"Legalize it ","2","0.22"
"Long overdue","2","0.22"
"make it legal","2","0.22"
"positive","2","0.22"
"Positive","2","0.22"
"pro","2","0.22"
"Pro","2","0.22"
"Pro-legalization","2","0.22"
"Unsure","2","0.22"
"Very good ","2","0.22"
"Yes!","2","0.22"
"100 for it","1","0.11"
"100% for it","1","0.11"
"100% needs to happen, stigma needs to be eliminated ","1","0.11"
"100% positive.","1","0.11"
"100% pro","1","0.11"
"50 years overdue.","1","0.11"
"50/50 I want it to happen but I don’t want the standardization to limit quality. ","1","0.11"
"A positive turn for patients with a wide spectrum of issues. Less pharmies and more naturals! We've all seen the effects of too many pills on our neighbors, friends and family. Offer more alternatives and let people decide for themselves what works better for them and has less side effects.","1","0.11"
"• More and more people will use cannabis   • Cannibis legalization will usher in Americas new version of ""big tobacco""    • Prices of marijuana will increase and those who TRULY need it will suffer vs people who use it just to get high.   • Drug cartels and the black market will continue to function under the legalization of marijuana and will benefit.   • The number of fatal accidents with drivers testing positive for marijuana use has sky rocketed.     I am a medical marijuana patient, I do use it recreationally but it is going to do more harm then it does good and that is my personal opinion as well as factual studies that have proven legalization brings problems. ","1","0.11"
"About bloody time ","1","0.11"
"About Fucking Time","1","0.11"
"about time","1","0.11"
"About time !!","1","0.11"
"about time mass. still dragged its feet set up for rich only","1","0.11"
"About time!  ","1","0.11"
"About time.","1","0.11"
"about time. ","1","0.11"
"About time. Time to fight Big Pharma and make it federally legal so the V.A. could dispense it.","1","0.11"
"Absolutely","1","0.11"
"Age regulated but absolutely support","1","0.11"
"all for it","1","0.11"
"ALL FOR IT","1","0.11"
"All for it. Regulate and with proper use it's far safer than alcohol or any other drugs. ","1","0.11"
"all in","1","0.11"
"All in!!!","1","0.11"
"Am all for it","1","0.11"
"amazing ","1","0.11"
"an idea who's time is thankfully here","1","0.11"
"As a medical patient I find access awesome but some of the dispensaries are more strict than others. SERA naturals for example is like fort nox and I feel as though I'm being treated like a criminal in there. Also, some of the workers at dispensaries (NETA) get personally offended if you don't like their product even if it is objectively not of good quality. It takes a bit to find places that have all around great quality products and selection. So far Revolutionary Clinics is my favorite but their edible selection isn't great.","1","0.11"
"As long as it doesn't interrupt the supply to people with medical cards I'm all for it.","1","0.11"
"As soon as possible, with proper regulations and taxes.","1","0.11"
"As with any ingested substance that affects the body, there are risks for abuse and disuse, along with potential unintended social side effects, but when compared to other socially acceptable substances - notably alcohol - it is far less risky.  If nothing else, legalization should open up the doors for deep medical research which will hopefully provide effective alternatives to pharmaceuticals for many people.","1","0.11"
"awesome ","1","0.11"
"awesome finally not a criminal love it and to the haters.i sing this song!!! LET IT GO!!! LET IT GO!!!! THE WEED IS FINALLY FREE YEAH!!!!!!!! ABOUT TIME!!!!! ","1","0.11"
"AWESOME SAUCE!!!!!","1","0.11"
"Been too long for legalization ","1","0.11"
"Being a byproduct of the hippie era, I've long been an advocate for legalization for both medical and recreational use. ","1","0.11"
"Best change of law in my life time","1","0.11"
"Best decision ever made.","1","0.11"
"Best news ever!!","1","0.11"
"Best thing ever!!!! I am saving the insurance company $4000.00 a month, costing me $600.00.  But never felt better.","1","0.11"
"Best thing ever. Should have happened year ago","1","0.11"
"best thing that has happened in years","1","0.11"
"Best thing they ever did.  It's helping a lot of people and that's what it's all about!","1","0.11"
"Better for everyone ","1","0.11"
"Better research","1","0.11"
"Better than alcohol/pills","1","0.11"
"Big supporter especially in the age of opioid abuse and the reluctance of medical providers to prescribe opioid for real, actual and accute every day pain","1","0.11"
"Black communities have been systematically targeted through historic illegal cannabis. Because of this, legalization has a social justice component that is relevant and important. I believe this is why it stayed illegal and punishment were bias between black and white communities. Post civil rights movement it was used as a systematic tool of oppression. ","1","0.11"
"Bout damn time","1","0.11"
"Bring it on! ","1","0.11"
"can help many people , and cannabis users are usually good Americans just trying to get by in life.","1","0.11"
"Cannabis being sold from the dispensary will have been controlled vs what we call 'street weed' that can have foreign substances in them without your knowledge","1","0.11"
"Cannabis does not kill people, it helps people. things that you have to make like alcohol and hard drugs kill everyday. ","1","0.11"
"Cannabis legalization and decriminalization across the country is long overdue. We need to stop locking up people of color over a plant and start generating tax revenue and open access to medical patients across the board.  ","1","0.11"
"cannabis should be 100% legal on federal and state levels just like alcohol.","1","0.11"
"Cannabis should be legal.  If you don't like it, don't use it.","1","0.11"
"Cannabis should be legalized federally across-the-board alcohol should be outlawed","1","0.11"
"complete legalization in the usa, age restrictions and penalties for overuse","1","0.11"
"Complete legalization!","1","0.11"
"completely supportive. it's about time. ","1","0.11"
"Cool","1","0.11"
"Couldn't be happier. I don't understand why it has taken as long as it has. We still have a long road ahead of us but it's better late than never!","1","0.11"
"Crazy that it took so many years. I love having legal access.","1","0.11"
"Decriminalization not legalisation","1","0.11"
"Definitely tax the rich","1","0.11"
"Do it faster and let more people start businesses","1","0.11"
"Do it! And while you're doing that legalize all drugs.","1","0.11"
"Do it.","1","0.11"
"Do it. But don't let the Feds, or wall street, have anything to do with it","1","0.11"
"👍","1","0.11"
"End the prohibition and free the leaf","1","0.11"
"Excellent idea...can't believe it has taken so long.  I'm 53  And this should have been done by the time I was 18.","1","0.11"
"Excellent, about time!!!","1","0.11"
"Excellent, and about time!","1","0.11"
"Excited that it finally happened ","1","0.11"
"Excited, but I hope the education about Cannabis is still prioritized.","1","0.11"
"Extremely happy","1","0.11"
"Extremely supportive of the safer option to pain management.","1","0.11"
"Favorable ","1","0.11"
"Federal government needs to legalize marijuana. Get on the same page as the rest of the states.","1","0.11"
"Federal Legalization ","1","0.11"
"federal medical marijuwana","1","0.11"
"Feel positive about it","1","0.11"
"finally","1","0.11"
"Finally it’s fantastic ","1","0.11"
"finally legal","1","0.11"
"Finally! ","1","0.11"
"FINALLY!! I can't wait until it's federally legal. It's ridiculous to forbid a harmless plant with so many benefits. ","1","0.11"
"finally, now opiate use should hopefully decrease","1","0.11"
"Fine with it","1","0.11"
"fine with it if labelling of product is regulated for accuracy and more studies and results are available for strains, side effects. etc.","1","0.11"
"For it","1","0.11"
"For it as long as dispensaries are able to maintain medicinal needs","1","0.11"
"Free the plant and stop government oppression against those of us who consume it.  Cannabis is safer than a tomato and should be regulated accordingly.","1","0.11"
"Freedom ","1","0.11"
"Fuck yeah","1","0.11"
"Full legalization; regulation.  Give the tax funds to schools","1","0.11"
"General thoughts are about time ","1","0.11"
"Get dispensaries open!!!!","1","0.11"
"Get it live in Ma","1","0.11"
"Get it over with ","1","0.11"
"Get on with it already","1","0.11"
"get the stores up and running...more seeds to grow AT HOME","1","0.11"
"Good 'ol USA Thank U for Democracy","1","0.11"
"Good for adults","1","0.11"
"Good for the culture","1","0.11"
"Good for those who really need it.","1","0.11"
"Good idea, long overdue","1","0.11"
"Good idea, will be interesting to see how it integrates into society.","1","0.11"
"Good move","1","0.11"
"Good mushrooms should be next","1","0.11"
"good plan","1","0.11"
"Gov't shouldn't tell people what they can and cannot ingest.","1","0.11"
"great","1","0.11"
"great day in the state of Massachusetts","1","0.11"
"Great for medical use. ","1","0.11"
"Great idea","1","0.11"
"Great idea.  Still expensive ","1","0.11"
"Great that it is legalized for medical use, but will be sold at street level, because of the cost.","1","0.11"
"Great!!! It has helped me so much with seizures and anxiety! I think more info should be available about cultivation and extraction techniques.","1","0.11"
"great, but need to help low income industry players get funds","1","0.11"
"Great.  It should be on equal legal footing with alcohol","1","0.11"
"Greatest thing ever ","1","0.11"
"Greatest thing since the freedom of the slaves","1","0.11"
"happening way too slowly. stop restricting access","1","0.11"
"happy ","1","0.11"
"Happy about it. Wish I had been on board sooner. ","1","0.11"
"happy but still afraid because it's illegal at federal level.  worry if out of state I could get arrested which adds even more anxiety to having HIV/AIDS","1","0.11"
"Happy it’s about time. It has helped me get off my Lorazepam. 2 years.      ","1","0.11"
"Happy it’s legal and can get it from a safe source","1","0.11"
"Happy that it is finally recognized for medical purposes","1","0.11"
"Hopefully it will bring prices down and be more easily available.","1","0.11"
"hoping for well done double-blind placebo-controlled studies without influential money/companies funding them","1","0.11"
"Hurry up already!!","1","0.11"
"Hurry up!","1","0.11"
"Hurry up!!!!","1","0.11"
"I'd rather it stay medical. The stigma is bad enough.","1","0.11"
"I'm all for it ","1","0.11"
"I'm all for it.  It's part of my and so many others regimen of good health. ","1","0.11"
"I'm distressed that is has taken so long to legalize because I have been on prescriptions for decades and am concerned about what they have done to my health.","1","0.11"
"I'm for it, but it needs to be done on a state by state basis before anything becomes federally legal  ","1","0.11"
"I'm for it.  However, there needs to be guidelines as to how much an individual can buy in a given time.  If anything but to discourage reselling in the black market","1","0.11"
"I've supported legalization since the 70s. It's long past due.","1","0.11"
"I agree with the legalization of cannabis. I feel it is something that wont kill you such as things like alcohol and tobacco. It will help support schools, and communities off of the taxes not to mention the jobs that are created from it.","1","0.11"
"I agree with the process","1","0.11"
"I am 100% in support of legalization. I smoke cannabis religiously and do not see my life any better without it.","1","0.11"
"I am a firm believer in legalizing cannabis","1","0.11"
"i am all for it. alternatives to big pharma are a good thing. i am so glad i lived to see the day that big pharmaceuticals is not in charge anymore!","1","0.11"
"I am all for legalization it has been my only medication","1","0.11"
"I am behind decriminalizing natural remedies and methods to enhance the human experience. I am most concerned about big business using cannabis to achieve enormous personal gain without being involved in the community. In other words, I'd like us to maintain cannabis' sovereignty from the ways of the pharmaceutical giants and keep it in the public domain.","1","0.11"
"I am extremely pleased that cannabis has been legalized.","1","0.11"
"I am for it","1","0.11"
"I am for it since nothing better helps my medical issues","1","0.11"
"I am glad that it’s getting shown in a new light, that it truly has medical and therapeutic benefits and that it’s not some dangerous gateway drug that’s as bad as the truly dangerous drugs out there. I am happy I can get my cannabis in a safe secure dispensary instead of needing to get it off the streets.  At the same time, I see it as something that can be enjoyed like coffee, and hopefully it is seen like that sometime in the future.","1","0.11"
"I am grateful it is finally legalized, but sincerely hope more is done in reparations for the communities disproportionally impacted by the ban and later racism-fuled ""war on drugs"".   ","1","0.11"
"I am hopeful it will benefit the general population and happy that we are finally at this point.","1","0.11"
"I am in agreement with legalization but from someone suffering from a chronic illness... I don't want it to be taking not seriously are considered more of a joke since it is now recreational. I do feel it should be available to anyone that wants it or needs it","1","0.11"
"I am in favor due to it helped the quality level in my life regarding pain, inflammation along with exercise too.","1","0.11"
"I am looking forward to it","1","0.11"
"I am okay with medical legalization, and neutral on recreational as I see it on the same plane as alcohol","1","0.11"
"I am overjoyed about it, most definitely. It helps with some of the previous anxiety I'd feel while smoking. :)  But now, even though I live in a state where it's legal, I still had to take an employment drug test. This contradiction is very high stress and unnecessary and is the only thing that stops me from being an entirely 'out' cannabis user. ","1","0.11"
"I am pleased that cannabis is finally getting recognized as a benefit in alleviating pain.","1","0.11"
"I am pleased that its legal at the state level but It needs to be legal federally, just like alcohol and tobacco.  I am concerned about losing my job if tested randomly despite not being under the influence while at work. ","1","0.11"
"I am pro careful and methodical legalization.","1","0.11"
"I am prolegalization and for %100 decriminalization. ","1","0.11"
"I am so grateful to have this available, I deal with a lot of anxiety and I do not like taking Clonozapam, or any other Chemical to help me with panic and anxiety attacks, with Cannabis I choose, how much to use, how the effects of being relaxed from a gumdrop, cookies, or flower at night, I dont have to settle myself down with half, or a full dose of a Chemical that is very, very sedating, no matter how much I take. ","1","0.11"
"I am surprised but i will be even more surprised when it's legal at a federal level","1","0.11"
"I am totally in favor!","1","0.11"
"I am very excited, it has been a long time coming, I rather see many people relaxed and feeling good from a natural leaf, than with opiods or alcohol","1","0.11"
"I am very pleased to see recreational marijuana legalized in my lifetime.","1","0.11"
"I am very pro legalization!","1","0.11"
"I am worried about people driving stoned. ","1","0.11"
"I approve of it","1","0.11"
"I believe cannabis is a drug with the ability to help with many ailments...","1","0.11"
"I believe it is a good idea ","1","0.11"
"I believe it is long overdue","1","0.11"
"I believe it should be declassified as a schedule 1 as it has MANY medicinal uses as well as should be legal to adults 21 and over in all states!!!","1","0.11"
"I believe it should be legal","1","0.11"
"I believe it should be legalized at a federal level, for personal use and cultivation. With similar regulations as alcohol.","1","0.11"
"I believe it should be legalized every where.","1","0.11"
"I believe it should happen yesterday","1","0.11"
"I believe it to be safer than tobacco and alcohol, therefore more deserving of legalization than those products.","1","0.11"
"I believe its great that cannabis is more accessible once it is legalized. However, I wish there were more opportunities for individuals without money or political power to establish businesses and benefit from the legal market","1","0.11"
"I believe most states are moving in the right direction in regards to cannabis, however the efforts will be for nothing if the federal government doesn’t legalize on the federal level.","1","0.11"
"I believe that cannabis should be legalized. To me, it is no different than alcohol. ","1","0.11"
"I believe that everyone 21 and older should have access to cannabis as long as it does not deter patients from having access to their medicine. ","1","0.11"
"I believe that the legalization of cannabis is great for economic growth and the overall health and stature of humans and animals alike. Cannabis can replace thousands of harmful products, foods, textiles and medicines and could really start the frontier of the next age. I believe if it was legalized completely all around the world that we would see a dramatic decrease in crimes and just overall problems in general. Possibly making the world a happier place to inhabit.","1","0.11"
"I believe that there are many more health benefits than there are negative. It helps better than any anti-depressant that I've ever used.","1","0.11"
