"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  185"
"response","count","percent_responded"
"Smoke flower","125","67.57"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","115","62.16"
"Vape cartridges","99","53.51"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","71","38.38"
"Tinctures","58","31.35"
"Vape flower","51","27.57"
"Salves/topicals","38","20.54"
"Capsules","20","10.81"
"Transdermal patches","12","6.49"
"Suppositories","5","2.7"
"Other (please specify)","4","2.16"
