"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  442"
"response","count","percent_responded"
"Money","260","58.82"
"Access to the right products","149","33.71"
"Stigma","108","24.43"
"No barriers","98","22.17"
"Place to consume cannabis","97","21.95"
"Workplace testing or other policies","82","18.55"
"Time required to get medical card or obtain products","47","10.63"
"Lack of knowledge","42","9.5"
"Other (please specify)","24","5.43"
"Previous bad experience","12","2.71"
