"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Chronic pain","11","68.75"
"Anxiety","9","56.25"
"Depression","9","56.25"
"Posttraumatic stress disorder (PTSD)","9","56.25"
"Insomnia","5","31.25"
"Arthritis","4","25"
"Attention deficit/hyperactivity disorder (ADHD)","3","18.75"
"Diabetes","3","18.75"
"Hypertension","3","18.75"
"Other (please specify)","3","18.75"
"Respiratory problems","3","18.75"
"Cardiovascular disease","2","12.5"
"Substance abuse/addiction","2","12.5"
"Allergies","1","6.25"
"Bipolar/manic depression","1","6.25"
"Inflammatory bowel disease (IBD)","1","6.25"
"Obesity","1","6.25"
