"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  126"
"response","count","percent_responded"
"Chronic pain","46","36.51"
"Posttraumatic stress disorder (PTSD)","32","25.4"
"Anxiety","18","14.29"
"Insomnia","7","5.56"
"Depression","6","4.76"
"Arthritis","3","2.38"
"Bipolar/manic depression","3","2.38"
"Hypertension","2","1.59"
"Obesity","2","1.59"
"Cancer","1","0.79"
"Fibromyalgia/myositis","1","0.79"
"Gastrointestinal/digestive system disorders","1","0.79"
"Inflammatory bowel disease (IBD)","1","0.79"
"Multiple sclerosis","1","0.79"
"Respiratory problems","1","0.79"
"Substance abuse/addiction","1","0.79"
