"q13","Where are the locations of your pain (please check all that apply)","n =  34"
"response","count","percent_responded"
"Lower back","29","85.29"
"Knee","20","58.82"
"Neck","15","44.12"
"Leg","14","41.18"
"Shoulder","14","41.18"
"Hips","13","38.24"
"Upper back","12","35.29"
"General joint pain","11","32.35"
"Generalized muscle pain","11","32.35"
"Hand","10","29.41"
"Foot","8","23.53"
"Head/headache","7","20.59"
"Arm","6","17.65"
"Wrist","6","17.65"
"Buttocks","5","14.71"
"Mouth/dental pain","4","11.76"
"Abdomen","2","5.88"
"Face","2","5.88"
"Full body","2","5.88"
"Other (please specify)","2","5.88"
"Genitalia","1","2.94"
