"q7","How does cannabis help your daily life? (Please select all that apply)","n =  913"
"response","count","percent_responded"
"Generally helps with quality of life","721","78.97"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","709","77.66"
"Helps with physical symptoms (e.g. body pains, function, sensation)","652","71.41"
"Helps to avoid starting other medicines (including opiates)","309","33.84"
"Helps to reduce use of other prior medicines (non-opiates)","297","32.53"
"Helps to reduce use of alcohol","285","31.22"
"Helps to reduce use of opiates","155","16.98"
"Helps to reduce us of tobacco","112","12.27"
"Other (please specify)","34","3.72"
"Does not help my daily life","8","0.88"
