"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  266"
"response","count","percent_responded"
"Depression/mood","209","78.57"
"Sleep/insomnia","198","74.44"
"Anxiety/panic attacks","188","70.68"
"Pain","151","56.77"
"Attention/concentration","126","47.37"
"Aggression","121","45.49"
"Appetite/weight","115","43.23"
"Headache","101","37.97"
"Inflammation","78","29.32"
"Spasms","66","24.81"
"Nausea/vomiting","49","18.42"
"Skin conditions","23","8.65"
"Mania/psychosis","20","7.52"
"Respiratory","14","5.26"
"Ocular pressure","12","4.51"
"Other (please specify)","12","4.51"
"Drug withdrawal","3","1.13"
"Seizures","2","0.75"
