"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  78"
"response","count","percent_responded"
"Not actively trying to reduce medication Intake","39","50"
"Sedatives/hypnotics","17","21.79"
"NSAID/non-opioid analgesics","13","16.67"
"Antidepressants","9","11.54"
"Anxiolytics/Benzodiazepines","9","11.54"
"Other (please specify below)","8","10.26"
"Other (please specify)","8","10.26"
"Muscle relaxants","7","8.97"
"Narcotics/opioids","4","5.13"
"Antimigraine","3","3.85"
"Anti-convulsants","1","1.28"
"Proton pump inhibitors","1","1.28"
