"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  126"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","60","47.62"
"I don’t take any prescription medications","41","32.54"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","28","22.22"
"Anti-inflammatories","26","20.63"
"Statins (e.g. Lipitor, Crestor)","20","15.87"
"Other (please specify)","19","15.08"
"Muscle relaxants","17","13.49"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","15","11.9"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","11","8.73"
"Antihypertensives","9","7.14"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","9","7.14"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","9","7.14"
"Beta Blockers","8","6.35"
"Steroids, including steroid creams","7","5.56"
"Antimigraine","5","3.97"
"Antipsychotics (e.g. Abilify, Seroquel)","4","3.17"
"Hormone replacement therapy (HRT)","3","2.38"
"Proton pump inhibitors","2","1.59"
"Barbiturates (e.g. Floricet)","1","0.79"
"Insulin","1","0.79"
"Sedatives/hypnotics","1","0.79"
