"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  279"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","117","41.94"
"Have not seen advertising","103","36.92"
"In magizines or newspapers","53","19"
"On billboards","40","14.34"
"At an event, like a concert, fair, rodeo, parade, or similar","24","8.6"
"On the radio","24","8.6"
"In pamphlets or flyers","22","7.89"
"On storefronts","22","7.89"
"On street side marketing, like sandwich boards","16","5.73"
"Other (please specify)","16","5.73"
"On television","15","5.38"
"Other (please specify below)","8","2.87"
"On signs being held by people on sidewalks (sign wavers)","2","0.72"
