"q5","What is the primary health condition for which you find cannabis to be helpful or most impactful? Please select one.","n =  913"
"response","count","percent_responded"
"Chronic pain","309","33.84"
"Anxiety","219","23.99"
"Depression/mood","119","13.03"
"Other (please specify)","61","6.68"
"Insomnia","53","5.81"
"Post-Traumatic Stress Disorder (PTSD)","45","4.93"
"Arthritis","25","2.74"
"Inflammatory Bowel Disease (IBD)","24","2.63"
"Not using cannabis for a health condition","19","2.08"
"Nausea/vomiting","14","1.53"
"Attention Deficit/Hyperactivity Disorder (ADHD)","12","1.31"
"Multiple Sclerosis","6","0.66"
"Epilipsey","5","0.55"
"HIV/AIDS","2","0.22"
