"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  146"
"response","count","percent_responded"
"Dry mouth","108","73.97"
"Changes in appetite","55","37.67"
"Increased energy","50","34.25"
"More or less talkative","47","32.19"
"Sleepiness/fatigue","34","23.29"
"Changes in libido","17","11.64"
"Feeling of being ""altered""","15","10.27"
"Tough to get started in the morning (lassitude) or ""couch lock""","14","9.59"
"Paranoia","13","8.9"
"Difficulty concentrating","12","8.22"
"Memory problems","12","8.22"
"Other (please specify)","11","7.53"
"Heart racing/palpitations","9","6.16"
"Anxiety","6","4.11"
"Apathy","6","4.11"
"Dizziness","6","4.11"
"Racing thoughts","6","4.11"
"Sweating","6","4.11"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","5","3.42"
"GI changes (constipation, diarrhea, abdominal discomfort)","4","2.74"
"Nausea","4","2.74"
"Headache","2","1.37"
"Depression","1","0.68"
